#seq;rnd_rate;wrt_rate;io_size;sys_cpu;usr_cpu;cpu_ctx;cpu_minf;cpu_majf;r_io_bytes;r_bw;r_bw_min;r_bw_max;r_bw_mean;r_bw_dev;r_iops;r_runtime;r_min_lat;r_max_lat;r_mean_lat;r_stddev_lat;w_io_bytes;w_bw;w_bw_min;w_bw_max;w_bw_mean;w_bw_dev;w_iops;w_runtime;w_min_lat;w_max_lat;w_mean_lat;w_stddev_lat
4;20;0;4;10.53;3.65;51207;5;0;204800;36656;34048;40976;36618.91;2740.86;9164;5587;27;777;107.26;31.28;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
1;20;0;8;13.46;2.52;25605;5;0;204800;64382;62144;70384;64517.33;3036.61;8047;3181;37;814;122.12;32.08;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
2;20;0;8;11.11;1.85;25603;5;0;204800;67702;63424;70736;67701.34;3125.12;8462;3025;18;826;116.55;31.79;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
3;20;0;8;14.54;3.45;25603;5;0;204800;63073;61600;64176;63130.67;1140.42;7884;3247;40;1021;124.58;32.42;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
4;20;0;8;12.38;2.97;25602;5;0;204800;63346;60976;64160;62850.67;1051.7;7918;3233;35;766;123.94;32.14;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
1;20;0;16;14.71;1.89;12803;5;0;204800;107506;105600;109856;107221.34;2301.85;6719;1905;51;799;146.01;32.72;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
2;20;0;16;14.26;1.76;12804;5;0;204800;112280;112064;113056;112437.34;539.59;7017;1824;54;782;140.39;32.29;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
3;20;0;16;11.67;3.4;12805;5;0;204800;108589;107072;110368;108565.34;1669.63;6786;1886;55;734;144.51;32.49;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
4;20;0;16;11.09;2.26;12803;5;0;204800;115837;111808;124192;116960.0;6448.69;7239;1768;52;794;136.59;32.94;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
1;20;0;32;9.48;2.81;6403;5;0;204800;179649;170496;183104;176800.0;8915.2;5614;1140;81;829;174.53;35.02;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
2;20;0;32;13.21;2.09;6403;5;0;204800;177777;175040;179904;177472.0;3439.37;5555;1152;85;814;176.97;33.19;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
3;20;0;32;10.57;4.43;6402;5;0;204800;174446;168832;177856;173344.0;6380.93;5451;1174;81;800;179.37;33.23;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
4;20;0;32;13.76;2.35;6403;6;0;204800;171668;169152;173504;171328.0;3077.33;5364;1193;85;844;183.27;34.73;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
1;20;0;64;2.8;1.68;3203;5;0;204800;286433;287360;287360;287360.0;0.0;4475;715;139;872;222.08;32.36;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
2;20;0;64;9.52;2.51;3203;5;0;204800;256320;257152;257152;257152.0;0.0;4005;799;152;911;243.93;32.46;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
3;20;0;64;8.06;2.52;3202;6;0;204800;257610;256896;256896;256896.0;0.0;4025;795;141;1015;244.28;34.06;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
4;20;0;64;10.26;1.95;3203;5;0;204800;249756;251648;251648;251648.0;0.0;3902;820;148;1072;252.98;39.61;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
1;20;0;128;7.1;2.58;1602;6;0;204800;329790;329472;329472;329472.0;0.0;2576;621;268;1132;383.91;42.08;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
2;20;0;128;5.55;0.0;1602;5;0;204800;354325;354048;354048;354048.0;0.0;2768;578;271;1208;359.21;39.45;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
3;20;0;128;9.33;0.0;1602;5;0;204800;340765;340992;340992;340992.0;0.0;2662;601;278;926;371.68;36.46;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
4;20;0;128;6.57;2.63;1602;6;0;204800;335737;338432;338432;338432.0;0.0;2622;610;280;1255;376.84;40.5;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
1;20;0;256;6.14;1.54;802;6;0;204800;392337;392704;392704;392704.0;0.0;1532;522;532;1235;649.42;50.71;0;0;0;0;0.0;0.0;0;0;0;0;0.0;0.0
